Gene	Celltype
MEGF10	TypeMIA
TIGD2	TypeMIA
XRCC2	TypeMIA
HELZ2	TypeMIA
NEDD1	TypeMIA
ZNF600	TypeMIA
CD1A	TypeB
BPIFB1	TypeB
CEACAM8	TypeB
SYTL2	TypeA
ELANE	TypeB
AZU1	TypeB
PIGA	TypeA
CACNA1D	TypeA
HHLA2	TypeB
MAB21L4	TypeB
MUC21	TypeB
CSF3R	TypeA
TEKT1	TypeB
S100A8	TypeB
ROPN1L	TypeB
HBB	TypeB
ANPEP	TypeB
C20orf85	TypeB
DGKD	TypeA
IRS2	TypeA
MS4A8	TypeB
PITX1	TypeB
SLC35A1	TypeA
ZNF483	TypeA
APOD	TypeB
ARMC3	TypeB
DOCK9	TypeA
FAM135A	TypeA
INTS3	TypeA
RAMP1	TypeB
ZNF165	TypeA
CFAP57	TypeB
POF1B	TypeB
CCL18	TypeB
MUC5AC	TypeB
TUBB	TypeB
CFAP45	TypeB
GSTA1	TypeB
PLEKHS1	TypeB
SGMS1	TypeA
NAXD	TypeA
OVCH1	TypeB
C6orf118	TypeB
C11orf16	TypeB
C1orf158	TypeB
CAPSL	TypeB
DRC7	TypeB
DUSP4	TypeA
WDR38	TypeB
ATP12A	TypeB
C11orf88	TypeB
DRC1	TypeB
CD207	TypeB
